Ano;Mês;Dia;Dia da Semana;Hora;AISP;Município;Bairro;Natureza;Idade;Sexo;Raça/Cor;Orientação Sexual
2025;abr;1;ter;22;1ª AISP - Curitiba;CURITIBA;SANTA FELICIDADE;Morte por Intervenção Legal de Agente do Estado - MILAE;40 ANOS;M;PARDA;NAO INFORMADO
2025;abr;3;qui;0;1ª AISP - Curitiba;CURITIBA;SITIO CERCADO;CRIMES VIOLENTOS LETAIS INTENCIONAIS (CVLI);17 ANOS;M;PARDA;HETEROSSEXUAL
2025;abr;3;qui;0;1ª AISP - Curitiba;CURITIBA;SITIO CERCADO;Homicídio Doloso (homicídio simples e qualificado e homicídio doloso no trânsito);17 ANOS;M;PARDA;HETEROSSEXUAL
2025;abr;3;qui;6;1ª AISP - Curitiba;CURITIBA;BOA VISTA;CRIMES VIOLENTOS LETAIS INTENCIONAIS (CVLI);47 ANOS;M;BRANCA;HETEROSSEXUAL
2025;abr;3;qui;6;1ª AISP - Curitiba;CURITIBA;BOA VISTA;Homicídio Doloso (homicídio simples e qualificado e homicídio doloso no trânsito);47 ANOS;M;BRANCA;HETEROSSEXUAL
2025;abr;3;qui;14;1ª AISP - Curitiba;CURITIBA;PAROLIN;CRIMES VIOLENTOS LETAIS INTENCIONAIS (CVLI);39 ANOS;M;PARDA;HETEROSSEXUAL
2025;abr;3;qui;14;1ª AISP - Curitiba;CURITIBA;PAROLIN;Homicídio Doloso (homicídio simples e qualificado e homicídio doloso no trânsito);39 ANOS;M;PARDA;HETEROSSEXUAL
2025;abr;3;qui;19;1ª AISP - Curitiba;CURITIBA;CAMPO DE SANTANA;Morte por Intervenção Legal de Agente do Estado - MILAE;23 ANOS;M;PARDA;NAO INFORMADO
2025;abr;4;sex;6;1ª AISP - Curitiba;CURITIBA;CIDADE INDUSTRIAL DE CURITIBA;CRIMES VIOLENTOS LETAIS INTENCIONAIS (CVLI);28 ANOS;M;PRETA;HETEROSSEXUAL
2025;abr;4;sex;6;1ª AISP - Curitiba;CURITIBA;CIDADE INDUSTRIAL DE CURITIBA;Homicídio Doloso (homicídio simples e qualificado e homicídio doloso no trânsito);28 ANOS;M;PRETA;HETEROSSEXUAL
2025;abr;5;sáb;19;1ª AISP - Curitiba;CURITIBA;TATUQUARA;CRIMES VIOLENTOS LETAIS INTENCIONAIS (CVLI);30 ANOS;M;PRETA;HETEROSSEXUAL
2025;abr;5;sáb;19;1ª AISP - Curitiba;CURITIBA;TATUQUARA;Homicídio Doloso (homicídio simples e qualificado e homicídio doloso no trânsito);30 ANOS;M;PRETA;HETEROSSEXUAL
2025;abr;5;sáb;21;1ª AISP - Curitiba;CURITIBA;PINHEIRINHO;CRIMES VIOLENTOS LETAIS INTENCIONAIS (CVLI);23 ANOS;M;PARDA;HETEROSSEXUAL
